artist,single,released,sales
Vernon Dalhart,The Prisoner's Song,1924,6
Dawn featuring Tony Orlando,Tie a Yellow Ribbon Round the Ole Oak Tree,1973,6
Neil Diamond,Cracklin' Rosie,1970,6
The Jackson 5,I Want You Back,1969,6
Janet Jackson,Together Again,1997,6
Jerry Lee Lewis,Whole Lotta Shakin' Goin' On,1957,6
Madonna,Vogue,1990,6
George Michael,Careless Whisper,1984,6
The New Seekers,I'd Like to Teach the World to Sing (In Perfect Harmony),1971,6
Tony Orlando and Dawn,Knock Three Times,1970,6
Elvis Presley,Don't Be Cruel,1956,6
Harry Simeone Chorale,The Little Drummer Boy,1958,6
Simon & Garfunkel,Bridge over Troubled Water,1970,6
Bonnie Tyler,It's a Heartache,1977,6
Bonnie Tyler,Total Eclipse of the Heart,1983,6
Michael Jackson,Thriller,1983,5.7
Tino Rossi,Petit Papa Noël,1946,5.7
"Christina Aguilera, Lil' Kim, Mýa and Pink",Lady Marmalade,2001,5.2
Bee Gees,Stayin' Alive,1977,5.1
1910 Fruitgum Company,Simon Says,1967,5
ABBA,Waterloo,1974,5
Gene Austin,My Blue Heaven,1927,5
Gene Autry,That Silver-Haired Daddy of Mine,1935,5
The Beatles,She Loves You,1963,5
Bee Gees,Massachusetts,1967,5
Culture Club,Karma Chameleon,1983,5
Enigma,Sadeness (Part I),1990,5
George Harrison,My Sweet Lord,1970,5
Engelbert Humperdinck,Release Me,1967,5
Terry Jacks,Seasons in the Sun,1974,5
The Jackson 5,I'll Be There,1970,5
Michael Jackson,Beat It,1983,5
Tommy James and the Shondells,Crimson and Clover,1968,5
Tom Jones,Delilah,1968,5
Jerry Lee Lewis,Great Balls of Fire,1957,5
Madonna,Like a Prayer,1989,5
Ricky Martin,María,1995,5
Michael Zager Band,Let's All Chant,1977,5
Mitch Miller,March from the River Kwai,1957,5
Kylie Minogue,Can't Get You Out of My Head,2001,5
The Monkees,Daydream Believer,1967,5
Musical Youth,Pass the Dutchie,1982,5
The Partridge Family,I Think I Love You,1970,5
Elvis Presley,Are You Lonesome Tonight?,1960,5
Elvis Presley,Surrender,1961,5
Jeannie C. Riley,Harper Valley PTA,1968,5
Nini Rosso,Il Silenzio,1965,5
David Seville and the Chipmunks,The Chipmunk Song (Christmas Don't Be Late),1958,5
Staff Sergeant Barry Sadler,Ballad of the Green Berets,1966,5
Billy Swan,I Can Help,1974,5
Three Dog Night,Joy to the World,1971,5
The Tornados,Telstar,1962,5
